名稱,分類,群組,數量,狀態,型號,備註
Sony FX3,相機,,1,可借用,ILME-FX3,（新）機身
24-70mm F2.8,鏡頭,,1,可借用,,（新）
DJI Pocket 4 全套,相機,,1,可借用,Pocket 4,（新）含全部配件，整組借
DJI Mic 3 整套,音訊,,1,可借用,Mic 3,（新）整套
DJI RS 4 Pro 穩定器,穩定器,,1,可借用,RS 4 Pro,（新）整組
Sony A7S III 全套,相機,,1,可借用,ILCE-7SM3,機身、電池×5、充電器×3、相機袋
Canon 相機A 全套,相機,,1,可借用,,機身、假電池、電池×4、充電器×3、相機袋
Sony 小相機 全套,相機,,1,可借用,,小相機、配件、充電器、電池×2、備用電池(非原廠)
GoPro 全套,相機,,1,可借用,,相機、腳架、充電器(附線)、兔籠
DJI Pocket 3 全套,相機,,1,可借用,Pocket 3,相機、轉接底座、充電柄、小腳架、原廠袋、Pocket mic
iPhone 12 Pro,相機,,1,可借用,,單獨
DJI Mic 一代 整套,音訊,,1,可借用,,收納盒、相機用×1、人員用×2、耳機盒(附耳機)、3.5mm線、防風兔毛
Rode 無線麥組,音訊,,1,可借用,,無線麥A、無線麥B
Rode 指向麥組,音訊,,1,可借用,,Rode麥克風A、小指向麥A、小指向麥B
Yeti 電容麥,音訊,,1,可借用,,單獨
領夾麥克風,音訊,,1,可借用,,單獨
Aputure 主燈 整組,燈光,,1,可借用,,主燈、電源線×2、控制器、黑燈罩、燈架、柔光罩、柔光布×2、蜂巢網、保護罩、燈罩手提袋、手提箱
便攜燈A 整組,燈光,,1,可借用,,燈、NP-F750充電器、柔光傘、電池×2
豆腐燈,燈光,,1,可借用,,燈＋保護套
背景燈C,燈光,,1,可借用,,單獨
腳架A,腳架,,1,可借用,,
腳架B（油壓）,腳架,,1,可借用,,油壓雲台
腳架C,腳架,,1,可借用,,
腳架D,腳架,,1,可借用,,
腳架E,腳架,,1,可借用,,
手持/手機小腳架組,腳架,,1,可借用,,手持三腳架A、B、手持手機腳架A、燈架A、黑色腳架帶
SD 256G,儲存,記憶卡,2,可借用,SD,
SD 128G,儲存,記憶卡,2,可借用,SD,
SD 128G (300MB/s),儲存,記憶卡,1,可借用,SD,高速卡
microSD 256G,儲存,記憶卡,1,可借用,microSD,
microSD 128G,儲存,記憶卡,2,可借用,microSD,
SSD 1TB,儲存,硬碟,1,可借用,SSD,
SSD 2TB,儲存,硬碟,1,可借用,SSD,
隨身碟 128G,儲存,,3,可借用,,
記憶卡殼,儲存,,5,可借用,,
讀卡機組,儲存,,1,可借用,,讀卡機A/B/C、三合一讀卡機A
行動電源A,電源,,1,可借用,,
行動電源B,電源,,1,可借用,,
行動電源C,電源,,1,可借用,,
行動電源D,電源,,1,可借用,,
線材轉接配件箱,配件,,1,可借用,,動力延長線×2、多孔延長線×2、hub轉接器×5、type c hub×3、USB-C轉接頭×2、40W豆腐頭、三頭線、雙頭線、電池充電線、萬用轉接插頭、USB電源插頭、Sony假電池×2、充電袋、車用手機支架
場記板A,雜項,,1,可借用,,單獨
